"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"DOCK31",1.88111542529527e-55,0.892698877091836,0.661,0.564,4.53630984809955e-51,"3","DOCK3"
"PER3",4.19039002274429e-54,1.07476816861138,0.28,0.123,1.01051255398479e-49,"3","PER3"
"CCDC88A",1.09481611526353e-53,0.969291992169544,0.258,0.108,2.640149061958e-49,"3","CCDC88A"
"AFF3",2.78982473540403e-53,1.09394378423457,0.529,0.374,6.72766234942682e-49,"3","AFF3"
"MAGI2",1.39065451383837e-51,0.674956188974943,0.797,0.781,3.35356336012122e-47,"3","MAGI2"
"ARHGAP211",2.03978040873339e-51,0.986701025522398,0.395,0.218,4.91893045566058e-47,"3","ARHGAP21"
"PRKACB",1.22955706741646e-50,1.10009225762725,0.34,0.178,2.96507686807479e-46,"3","PRKACB"
"NBEA",6.07028753466844e-50,0.871509980236616,0.653,0.568,1.46384983898529e-45,"3","NBEA"
"ABLIM1",1.19725441340671e-48,1.08759855644905,0.638,0.546,2.88717901793027e-44,"3","ABLIM1"
"NLGN4Y",9.24848019902972e-47,1.02956473438706,0.388,0.225,2.23027099999602e-42,"3","NLGN4Y"
"SUPT3H",1.0255956602633e-46,1.07652363321234,0.35,0.192,2.47322393472495e-42,"3","SUPT3H"
"TTC7B",1.13575693359266e-46,1.07851720162156,0.301,0.15,2.7388778453587e-42,"3","TTC7B"
"PLCL2",4.53040602559466e-45,0.988914225627432,0.306,0.154,1.09250741307215e-40,"3","PLCL2"
"KIF1B",2.14122939306944e-43,1.04105387224386,0.501,0.365,5.16357468138695e-39,"3","KIF1B"
"CAMK2D1",1.61797198960872e-41,0.682121421224566,0.342,0.182,3.90173945294142e-37,"3","CAMK2D"
"MAP7",5.54024159008856e-41,0.991467393306998,0.477,0.334,1.33602925944986e-36,"3","MAP7"
"LRP1B1",5.87480209666509e-41,0.393297408297413,0.773,0.717,1.41670852561079e-36,"3","LRP1B"
"TSPAN5",6.64906516890668e-41,1.05281434316505,0.462,0.326,1.60342206548185e-36,"3","TSPAN5"
"PRKAG2",7.04335106714821e-41,0.65141416773813,0.263,0.122,1.69850410984279e-36,"3","PRKAG2"
"HIVEP2",4.9934370199384e-39,0.821743833514331,0.283,0.141,1.20416733735815e-34,"3","HIVEP2"
"TAFA5",3.69192755810776e-38,0.977634154097552,0.312,0.172,8.90308330637687e-34,"3","TAFA5"
"DOCK41",5.57215459424037e-37,0.676806827361776,0.407,0.25,1.34372508040106e-32,"3","DOCK4"
"GLCE1",1.47324928306289e-36,0.981440165039751,0.343,0.204,3.55274064610615e-32,"3","GLCE"
"PPM1H1",1.73874885088453e-36,1.05738756237352,0.376,0.239,4.19299285390805e-32,"3","PPM1H"
"ELP4",1.2189121397282e-33,1.05512874459301,0.379,0.249,2.93940662495455e-29,"3","ELP4"
"GLCCI1",1.24835584466522e-33,0.944521343130649,0.305,0.173,3.01041011941017e-29,"3","GLCCI1"
"AKT3",1.88814064483382e-33,0.872182431525299,0.576,0.485,4.55325116501675e-29,"3","AKT3"
"LINC00342",3.97294442665718e-32,0.921773422562226,0.37,0.238,9.5807554848838e-28,"3","LINC00342"
"CTNND2",7.7297133054565e-32,0.791379044931685,0.588,0.512,1.86402036361084e-27,"3","CTNND2"
"NEBL1",1.10766690069077e-31,0.569813796512763,0.375,0.228,2.67113873101579e-27,"3","NEBL"
"EVL",2.00961057773921e-30,0.832766723518196,0.26,0.14,4.84617590821809e-26,"3","EVL"
"MICU3",2.85054765174524e-30,0.889062559860852,0.266,0.147,6.87409566218365e-26,"3","MICU3"
"PTPN4",4.10887490146485e-29,0.991239687416737,0.391,0.279,9.90855182488248e-25,"3","PTPN4"
"STXBP1",4.69206381455155e-28,0.854889170009981,0.366,0.24,1.13149118887911e-23,"3","STXBP1"
"DGKG1",4.57744455552898e-26,0.866601447730535,0.422,0.306,1.10385075456581e-21,"3","DGKG"
"ATP9A",4.85510537037437e-26,0.885857420784966,0.296,0.182,1.17080866006578e-21,"3","ATP9A"
"RORA1",3.0302169607689e-25,0.450356160654444,0.797,0.805,7.30736820089421e-21,"3","RORA"
"TTTY141",4.03488255426772e-25,0.789122060229319,0.418,0.302,9.73011927961661e-21,"3","TTTY14"
"IL16",5.6023930849291e-25,1.04427983247094,0.311,0.209,1.35101709243065e-20,"3","IL16"
"ROCK21",2.47767272826887e-24,0.712302763199304,0.331,0.214,5.97490778422039e-20,"3","ROCK2"
"INPP4A",5.30549820525566e-24,0.873763724595698,0.289,0.181,1.2794208921974e-19,"3","INPP4A"
"MYO5A",9.25097767535501e-24,0.892408164782465,0.337,0.23,2.23087326641186e-19,"3","MYO5A"
"PHF14",6.35720035929731e-23,0.829459752188417,0.302,0.195,1.53303886664455e-18,"3","PHF14"
"SMYD3",5.24619847931467e-22,0.560756166849714,0.678,0.65,1.26512076328673e-17,"3","SMYD3"
"DTNB",5.97263187091535e-22,0.809224466063516,0.28,0.176,1.44030017567124e-17,"3","DTNB"
"MBD5",6.48415760162105e-22,0.630020638653039,0.593,0.558,1.56365460563092e-17,"3","MBD5"
"ANKRD12",1.11462627444976e-21,0.782772592403768,0.479,0.393,2.68792126083561e-17,"3","ANKRD12"
"CRTC1",4.06148206163776e-21,0.764820234751033,0.251,0.151,9.79426399163945e-17,"3","CRTC1"
