"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"MIS18BP1",1.23842646483962e-06,0.298267494415648,0.333,0.133,0.0346065891334782,"4","MIS18BP1"
"ACBD6",1.30124843170321e-06,0.397028318541906,0.292,0.113,0.0363620861755146,"4","ACBD6"
"NAA15",1.31053467374954e-06,0.354683276598035,0.312,0.124,0.0366215809232572,"4","NAA15"
"SNX25",1.31883449059723e-06,0.443667570640898,0.292,0.114,0.036853511005249,"4","SNX25"
"SGK3",1.33378648835691e-06,0.384444941593474,0.26,0.097,0.0372713296306455,"4","SGK3"
"HIVEP1",1.42559544594416e-06,0.456834660370653,0.281,0.109,0.0398368391414637,"4","HIVEP1"
"CCSER2.2",1.45489995063453e-06,-1.51477718440343,0.135,0.357,0.0406557242205312,"4","CCSER2"
"VRK2",1.46661092308428e-06,0.445572006614268,0.26,0.098,0.0409829756346671,"4","VRK2"
"FAM168A",1.5158587618787e-06,0.380796362819731,0.281,0.108,0.0423591572419384,"4","FAM168A"
"FKBP5.3",1.63260636340642e-06,-1.03216448022577,0.385,0.529,0.0456215522190289,"4","FKBP5"
"GDI2",1.67290065970786e-06,0.363241823314363,0.25,0.092,0.0467475360348763,"4","GDI2"
"DMTF1",1.69776508229866e-06,0.320192350059888,0.344,0.141,0.0474423474597539,"4","DMTF1"
"XPO1",1.72029363691468e-06,0.342451296294991,0.583,0.269,0.0480718853899439,"4","XPO1"
"NEAT1.2",1.80578203491249e-06,-1.24157750192198,0.302,0.469,0.0504607731835945,"4","NEAT1"
"LIMS1",1.93724283394091e-06,0.389785761184005,0.396,0.171,0.0541343137516447,"4","LIMS1"
"UBR5.1",2.2499605349715e-06,0.391713855184638,0.667,0.32,0.0628728971892436,"4","UBR5"
"CHD7.1",2.42997825053604e-06,0.520379535059203,0.271,0.106,0.067903312232979,"4","CHD7"
"CDK19",2.47349915652884e-06,0.463531096680049,0.365,0.158,0.0691194604300418,"4","CDK19"
"DLEU2.1",2.47423548357947e-06,0.382955274858708,0.646,0.308,0.0691400363531448,"4","DLEU2"
"UBE2G1",2.54030428880242e-06,0.268777711896618,0.354,0.147,0.0709862630462948,"4","UBE2G1"
"FAM13B.1",2.69807000275616e-06,0.269979760083733,0.469,0.208,0.0753948681570181,"4","FAM13B"
"WDR33",2.72412961707451e-06,0.405916630510675,0.365,0.157,0.0761230780195301,"4","WDR33"
"GIT2",2.73171512434174e-06,0.315881170055621,0.333,0.138,0.0763350474346056,"4","GIT2"
"CDC42SE2.2",3.03110839101698e-06,-0.863012663343263,0.562,0.588,0.0847012928785786,"4","CDC42SE2"
"SHOC2",3.24155766848503e-06,0.370630906604031,0.292,0.117,0.0905820874881456,"4","SHOC2"
"EIF4G3.3",3.28630228656165e-06,0.412067012299322,0.583,0.282,0.0918324310956788,"4","EIF4G3"
"CLASP2",3.45459266440938e-06,0.382534671431229,0.438,0.199,0.0965351374142556,"4","CLASP2"
"ERC1.1",3.63081567736337e-06,0.43358526716366,0.458,0.211,0.101459513288242,"4","ERC1"
"STRN3",3.73434888624887e-06,0.277050158648215,0.448,0.201,0.104352645277339,"4","STRN3"
"ADARB1",3.77398766136603e-06,0.54515798288104,0.281,0.115,0.105460311209212,"4","ADARB1"
"ANKUB1",4.00805191474599e-06,0.435109063774419,0.365,0.16,0.112001002705662,"4","ANKUB1"
"CNTRL.1",4.21260855218193e-06,0.345677090470306,0.479,0.22,0.117717133382172,"4","CNTRL"
"LRCH1",4.28396237550533e-06,0.36986390291578,0.406,0.181,0.119711044621121,"4","LRCH1"
"NUDCD3",4.51093030196778e-06,0.33928269643208,0.281,0.112,0.126053436358188,"4","NUDCD3"
"SS18",4.6573287151447e-06,0.310917831213278,0.281,0.112,0.130144393616003,"4","SS18"
"LUC7L2",4.72966265646232e-06,0.288893117597132,0.365,0.157,0.132165693272183,"4","LUC7L2"
"MFSD4B",5.11128926995896e-06,0.284543723664334,0.354,0.15,0.142829867359733,"4","MFSD4B"
"GTF2I",5.23649814645431e-06,0.342615702955821,0.344,0.147,0.146328704204519,"4","GTF2I"
"USP24.1",5.43028120523654e-06,0.390809816712706,0.51,0.245,0.15174377799913,"4","USP24"
"MBP.2",5.54930222850514e-06,-1.49173957683586,0.177,0.365,0.155069701473348,"4","MBP"
"MIATNB",5.62745703948002e-06,0.387212524754061,0.26,0.102,0.15725365951123,"4","MIATNB"
"ATP13A3",5.87509186312371e-06,0.445007654626038,0.25,0.098,0.164173567023129,"4","ATP13A3"
"SMURF1",5.97122532142391e-06,0.436161354008296,0.271,0.109,0.16685992038187,"4","SMURF1"
"PDCD6IP",6.07310027687888e-06,0.406959181141277,0.302,0.126,0.169706714137103,"4","PDCD6IP"
"CNOT6L.2",6.08973449289574e-06,-1.09843912404914,0.375,0.503,0.170171540669478,"4","CNOT6L"
"CEMIP2.2",6.10666739852092e-06,-1.58472662647256,0.115,0.312,0.170644713784269,"4","CEMIP2"
"ZMYND8",6.11463840053376e-06,0.308679775304702,0.344,0.148,0.170867455464516,"4","ZMYND8"
