"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"TRAPPC93",1.36904250327281e-07,0.872278688193526,0.609,0.296,0.00277997770714577,"14","TRAPPC9"
"LARP4",1.43210783186666e-07,1.21021706165176,0.293,0.11,0.00290803816338844,"14","LARP4"
"TMEM1751",1.46506048314024e-07,0.924530198751761,0.326,0.128,0.00297495181706457,"14","TMEM175"
"ZCCHC8",1.49050493894963e-07,0.922548433713184,0.293,0.108,0.00302661932903113,"14","ZCCHC8"
"C20orf1942",1.49342029386904e-07,1.43032187677545,0.25,0.085,0.00303253924873047,"14","C20orf194"
"ELOA",1.4993926545074e-07,0.825435117420279,0.283,0.103,0.00304466672424274,"14","ELOA"
"CISD21",1.5215199756933e-07,0.447484221478491,0.359,0.137,0.00308959846264282,"14","CISD2"
"GDI24",1.55194534595113e-07,0.653465454397966,0.739,0.455,0.00315138021948837,"14","GDI2"
"ATP10A1",1.55537168600652e-07,0.960191803581162,0.348,0.14,0.00315833774560483,"14","ATP10A"
"COPZ14",1.57290523436382e-07,0.729436401439355,0.446,0.195,0.00319394136889917,"14","COPZ1"
"CHD42",1.58108100656676e-07,0.737431742925802,0.587,0.283,0.00321054309193446,"14","CHD4"
"CCDC1074",1.58527617857115e-07,0.636259352601884,0.424,0.175,0.00321906180820658,"14","CCDC107"
"RALA1",1.59960407237038e-07,0.690859760439937,0.424,0.18,0.0032481560293553,"14","RALA"
"CCDC571",1.68166623260782e-07,0.585459309158957,0.435,0.182,0.00341479145193343,"14","CCDC57"
"FCHO11",1.68801574299389e-07,1.03827349649886,0.304,0.113,0.00342768476772339,"14","FCHO1"
"CAAP1",1.77933424489293e-07,0.681594676930325,0.304,0.113,0.00361311611767958,"14","CAAP1"
"LRCH1",1.78653754900128e-07,0.844517173795826,0.315,0.122,0.00362774314700201,"14","LRCH1"
"CIAO2B6",1.83753342831386e-07,0.610731263448054,0.609,0.306,0.00373129537953412,"14","CIAO2B"
"YIF1B2",1.8630508063201e-07,0.470736104860485,0.359,0.139,0.00378311096731359,"14","YIF1B"
"ZBTB21",1.91326485335569e-07,1.26782554290793,0.261,0.095,0.00388507561122407,"14","ZBTB21"
"TAF131",1.96417432494153e-07,0.680612929840465,0.293,0.108,0.00398845238422627,"14","TAF13"
"CUL4B",2.02468408866425e-07,0.623435359358567,0.304,0.112,0.00411132351044162,"14","CUL4B"
"SP34",2.03239993550763e-07,0.83307878040773,0.739,0.381,0.0041269913090418,"14","SP3"
"ARL8A3",2.04794073409871e-07,0.536111863533742,0.435,0.181,0.00415854845466083,"14","ARL8A"
"C17orf493",2.05568207733068e-07,0.894467933082937,0.576,0.3,0.00417426802622768,"14","C17orf49"
"MFSD14B3",2.09422025318877e-07,0.568059548452339,0.37,0.151,0.00425252364612512,"14","MFSD14B"
"RNF134",2.12219830304971e-07,0.519726530021827,0.565,0.263,0.00430933587417274,"14","RNF13"
