"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"KIF1B1",7.01355343393589e-52,0.418739272863675,0.668,0.724,1.84758038110173e-47,"1","KIF1B"
"ZNF462",2.5182080589279e-51,0.505447997204915,0.309,0.224,6.63371548963376e-47,"1","ZNF462"
"NPAS2",2.88631992136211e-51,0.917601825847791,0.366,0.324,7.60343256884421e-47,"1","NPAS2"
"FHIT1",3.07917102071304e-51,0.321288991265275,0.671,0.671,8.11146021986436e-47,"1","FHIT"
"REV3L",6.13088511812647e-51,0.700146299832925,0.511,0.506,1.61505906666806e-46,"1","REV3L"
"MAP4",4.5927423397979e-50,0.733870331273299,0.454,0.434,1.20986611457296e-45,"1","MAP4"
"TPST1",2.40127080695714e-49,1.10241666924606,0.429,0.424,6.32566768676718e-45,"1","TPST1"
"ARHGAP26",3.41466920800467e-49,0.373425602600742,0.605,0.54,8.99526309464669e-45,"1","ARHGAP26"
"NT5C2",4.48208488627726e-48,0.750856626046788,0.42,0.397,1.18071562159202e-43,"1","NT5C2"
"AC002460.2",9.35143772953542e-48,0.908069074373319,0.313,0.252,2.46344924109152e-43,"1","AC002460.2"
"AC093865.1",2.4933513557644e-47,0.691831366002612,0.279,0.206,6.56823547649015e-43,"1","AC093865.1"
"TAB2",7.78863810035285e-47,0.808702282568624,0.408,0.384,2.05176093477595e-42,"1","TAB2"
"IL6ST",1.08433538005127e-45,0.67747777050825,0.332,0.273,2.85646469166905e-41,"1","IL6ST"
"CCDC18-AS11",1.93619361104086e-45,0.671890203828649,0.356,0.299,5.10051482956493e-41,"1","CCDC18-AS1"
"NAV3",1.88421331109444e-44,0.278726787453918,0.812,0.673,4.96358312541607e-40,"1","NAV3"
"STXBP5",3.65197934493642e-44,0.540339032161634,0.571,0.574,9.62040918836601e-40,"1","STXBP5"
"ZC3H12C",7.95797491026057e-44,0.683626968012789,0.277,0.215,2.09636933060994e-39,"1","ZC3H12C"
"CDH2",1.76180487353941e-43,0.605469683264891,0.511,0.507,4.64112257836488e-39,"1","CDH2"
"FLRT2",2.19533610563695e-42,0.533005169714728,0.546,0.494,5.78317390307942e-38,"1","FLRT2"
"PNPLA8",2.61947274063603e-42,0.818108101156783,0.289,0.236,6.90047704065749e-38,"1","PNPLA8"
"GSN1",8.66769028245263e-42,0.40095219146124,0.3,0.217,2.2833296511065e-37,"1","GSN"
"ELOVL51",1.91666330502485e-41,0.686009777877017,0.301,0.236,5.04906614442698e-37,"1","ELOVL5"
"CNTN1",5.73534399415747e-40,0.409776358959498,0.702,0.62,1.5108616683809e-35,"1","CNTN1"
"CLIP1",2.76782485358022e-39,0.908441103212122,0.414,0.406,7.29128101178636e-35,"1","CLIP1"
"FTL1",3.9106781228209e-39,0.598526237982236,0.391,0.354,1.03018993789471e-34,"1","FTL"
"STIM2",9.32623632178971e-39,0.739624195074103,0.327,0.284,2.45681043424906e-34,"1","STIM2"
"BCR",1.01705711558346e-37,0.801495912184073,0.279,0.23,2.67923355958152e-33,"1","BCR"
"PALM",5.29067561036017e-37,0.829303407094498,0.266,0.219,1.39372267603718e-32,"1","PALM"
"TMEM161B-AS1",7.3917053277422e-37,0.511402331907058,0.598,0.634,1.94719693448713e-32,"1","TMEM161B-AS1"
"MIR100HG1",8.50030370876115e-37,0.503731850900984,0.542,0.573,2.23923500599895e-32,"1","MIR100HG"
"MYO61",1.31713039703307e-35,0.504439539423113,0.491,0.493,3.46971660490422e-31,"1","MYO6"
"BAALC",4.95044131731204e-35,0.818846495942408,0.351,0.321,1.30409475621951e-30,"1","BAALC"
"MEF2C-AS1",6.04629315984616e-35,0.715759804667611,0.436,0.425,1.59277500709827e-30,"1","MEF2C-AS1"
"CPNE8",1.73932825607025e-34,0.933280279969856,0.349,0.32,4.58191242496586e-30,"1","CPNE8"
"SMAD1",1.55377786691893e-33,0.880296960989207,0.293,0.257,4.09311703482453e-29,"1","SMAD1"
"OTUD7B1",6.96989756905327e-33,0.500457820473009,0.306,0.249,1.8360801166157e-28,"1","OTUD7B"
"PSAP",8.51572765067715e-33,0.649613112078383,0.474,0.495,2.24329813501788e-28,"1","PSAP"
"CEP85L",8.5373294068411e-33,0.665087461698245,0.416,0.414,2.24898868564415e-28,"1","CEP85L"
"ELP4",2.37676278281216e-32,0.70393687262944,0.385,0.371,6.26110619876207e-28,"1","ELP4"
"PLEC",3.13564027531009e-32,0.898133932998064,0.269,0.23,8.26021717724937e-28,"1","PLEC"
"THSD7A",3.33506880472319e-31,0.280413973528117,0.297,0.227,8.7855717522823e-27,"1","THSD7A"
"PACS1",4.32259264145852e-31,0.681784511742499,0.436,0.443,1.13870057953942e-26,"1","PACS1"
"MED13L",1.3446941706565e-30,0.409442984101363,0.627,0.685,3.54232785376042e-26,"1","MED13L"
"ABR",3.55089263469448e-30,0.545372967711869,0.428,0.423,9.35411646757568e-26,"1","ABR"
"BICD1",4.76621764640767e-30,0.632464093980256,0.502,0.527,1.25556471459317e-25,"1","BICD1"
"MEGF91",1.10040788661537e-28,0.610608384269649,0.395,0.381,2.89880449571086e-24,"1","MEGF9"
"KLF71",1.38535367768649e-28,0.684730492097026,0.308,0.271,3.64943719312953e-24,"1","KLF7"
"MARK3",1.44107864846747e-28,0.5410701559405,0.519,0.562,3.79623348365784e-24,"1","MARK3"
"BBS21",1.8568268585316e-28,0.604374632643764,0.342,0.313,4.89143899342978e-24,"1","BBS2"
"DHRSX",7.68080303462379e-28,0.733105269554474,0.318,0.289,2.02335394341094e-23,"1","DHRSX"
"NUMB",8.83218042250605e-28,0.622453612994395,0.383,0.374,2.32666128870077e-23,"1","NUMB"
"PRKN",1.4706515522773e-27,0.415264050541392,0.6,0.644,3.87413738416409e-23,"1","PRKN"
"ASTN2",2.60144197904038e-27,0.331641655482032,0.572,0.56,6.85297860538608e-23,"1","ASTN2"
"HMBOX1",2.72696626960877e-27,0.721423745017425,0.396,0.395,7.18364724403038e-23,"1","HMBOX1"
"TRIO",1.27262220198671e-26,0.363294164294002,0.636,0.651,3.35246866669359e-22,"1","TRIO"
"SMURF2",1.1053964280104e-25,0.722445399654936,0.305,0.277,2.91194581030781e-21,"1","SMURF2"
"GALNT18",1.85990098552564e-25,0.635670461983267,0.39,0.374,4.89953716617018e-21,"1","GALNT18"
"SPRED2",4.18044729844143e-25,0.681038099710618,0.274,0.24,1.10125523182843e-20,"1","SPRED2"
"ZNF6081",1.89669195602575e-24,0.403791382276759,0.315,0.262,4.99645561975863e-20,"1","ZNF608"
"SSBP2",2.36149292075677e-24,0.432051805095877,0.564,0.609,6.22088080114956e-20,"1","SSBP2"
"SLC13A31",7.16998043310491e-24,0.256354148066629,0.164,0.263,1.88878794549283e-19,"1","SLC13A3"
"WDFY21",1.22221423107509e-23,0.440015551878136,0.394,0.369,3.2196789489211e-19,"1","WDFY2"
"ANO5",1.70793458165493e-23,0.347790006145513,0.219,0.345,4.49921206845358e-19,"1","ANO5"
"FOXN3",2.55072314665971e-23,0.343006283736461,0.472,0.481,6.71936998524567e-19,"1","FOXN3"
"WASF2",7.89663318478922e-23,0.506447082413428,0.259,0.216,2.08021007986903e-18,"1","WASF2"
"PIR",8.05857078993535e-23,0.643863069365176,0.255,0.22,2.12286930319267e-18,"1","PIR"
"TSC22D2",8.50351182141563e-23,0.646031565350364,0.36,0.355,2.24008011911552e-18,"1","TSC22D2"
"CHD9",2.93654973580616e-22,0.377983363141899,0.564,0.624,7.73575296903418e-18,"1","CHD9"
"PANTR11",3.45778803489793e-22,0.570893486333101,0.396,0.394,9.10885102033161e-18,"1","PANTR1"
"GSE1",4.01715219034559e-22,0.271343411485951,0.159,0.255,1.05823840150274e-17,"1","GSE1"
"EPS151",4.09273051028259e-22,0.433617782703113,0.413,0.402,1.07814799832374e-17,"1","EPS15"
