"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"SLC35E2A",0.533657204239886,-1.69857292262377,1.86983011086569,-0.908410295006623,0.363661488525076,0.987661108975073
"NADK",0.501266503685282,0.235457154506348,2.01377005664369,0.116923555263692,0.906920631779083,0.987661108975073
"GNB1",7.19115310446405,0.356791424651487,0.553540420307845,0.644562549656378,0.519210710735892,0.987661108975073
"CFAP74",0.0901050191178374,-0.191241477085498,1.65820467444895,-0.115330441430007,0.908183210571706,0.987661108975073
"GABRD",0.0465228870589897,0.268261934534756,1.47220650633869,0.18221759880814,0.855411962346736,0.987661108975073
"PRKCZ",0.367451800974035,2.16768014277728,2.54855090376013,0.850553991124558,0.395017156448381,0.987661108975073
"FAAP20",0.339203416938157,-0.854379392944353,2.62029393399186,-0.326062424471119,0.744377125669506,0.987661108975073
"SKI",2.96888863291829,0.746033842983085,0.708387325912326,1.05314397321024,0.292275011820155,0.987661108975073
"MORN1",0.0704779285041025,-0.949837899931022,1.59472650036181,-0.595611786544917,0.551434600875986,0.987661108975073
"PEX10",0.0465228870589897,0.268261934534756,1.47220650633869,0.18221759880814,0.855411962346736,0.987661108975073
"TNFRSF14",0.500791263509702,0.843142330287273,2.13401417199656,0.395096874871472,0.692771395141937,0.987661108975073
"PRDM16-DT",0.17643564261337,-0.164812830861383,2.14348048268178,-0.0768902876387195,0.938710824015248,0.987661108975073
"PRDM16",3.2748141438551,0.930304966128169,0.674551699423333,1.37914553758219,0.167849886019651,0.987661108975073
"MEGF6",0.113654748061686,0.895108281595376,1.75220441713685,0.510846949614479,0.609458230853502,0.987661108975073
"TP73",0.22295852967236,0.485699917020459,2.1677361784528,0.224058592483852,0.822711711769705,0.987661108975073
"LRRC47",0.17643564261337,-0.164812830861383,2.14348048268178,-0.0768902876387195,0.938710824015248,0.987661108975073
"CEP104",0.448578798112532,-0.742999092510966,2.27921474322136,-0.325989069139154,0.744432625360187,0.987661108975073
"DFFB",0.260599747161181,-0.98700838697625,2.78660147610666,-0.354197898565411,0.723190578346651,0.987661108975073
"LINC01134",0.132853510554522,0.282849229907363,2.02651330519045,0.139574326594802,0.888996326439284,0.987661108975073
"AJAP1",0.398560531663567,2.22749121030792,2.88157257781327,0.773012357022874,0.439515067564352,0.987661108975073
"AL365255.1",0.0435821320588478,-0.914110630381878,1.4522369053415,-0.629450075961897,0.529054443121997,0.987661108975073
"NPHP4",0.217235013754767,-1.78019324708199,2.1455875432685,-0.829699656239671,0.406708615868572,0.987661108975073
"KCNAB2",0.117000815563092,-0.247672647957653,1.80130668077367,-0.137496102468946,0.890638673266917,0.987661108975073
"CHD5",0.132853510554522,0.282849229907363,2.02651330519045,0.139574326594802,0.888996326439284,0.987661108975073
"RPL22",0.232740196973503,-1.85605529800769,2.43694679541953,-0.761631440414014,0.446280004578158,0.987661108975073
"RNF207",0.0671318610026961,0.277072213087809,1.58096851689833,0.175254731594144,0.860879480145846,0.987661108975073
"ICMT",0.0917843399652984,-0.958143245316231,1.72830291377529,-0.55438386273577,0.579316167635578,0.987661108975073
"ACOT7",0.3797172424623,0.361625239882591,2.1692826367052,0.166702684917002,0.867603992842895,0.987661108975073
"TNFRSF25",0.0435821320588478,-0.914110630381878,1.4522369053415,-0.629450075961897,0.529054443121997,0.987661108975073
"NOL9",0.331077675665284,-1.50748475307672,2.59835330296244,-0.580169275424555,0.561800470844941,0.987661108975073
