"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"RNF43",0.298856291656996,-0.132223369493913,2.7235954828126,-0.0485473596678788,0.961280021355636,0.99961583089597
"PALM",4.29437395915965,-0.132379784534601,0.934580256352818,-0.141646245611062,0.887359436464622,0.99961583089597
"CRADD",11.1330656671757,-0.132459700418774,0.671249961724368,-0.197332898282034,0.843567036359643,0.99961583089597
"LRRC58",1.17024269273478,-0.132567130878223,1.49859849262175,-0.088460739504883,0.929510487303297,0.99961583089597
"EZH1",2.86256312332653,-0.132670713711156,1.17604789465989,-0.112810638336735,0.910180684013974,0.99961583089597
"DENND2A",15.8194135478603,-0.133325606341435,0.685851102591704,-0.194394389449288,0.845867082700231,0.99961583089597
"HEBP2",0.954352288677533,-0.133434100877897,1.5563730784616,-0.0857340073048484,0.931677867725429,0.99961583089597
"UBE2O",3.87802066166075,-0.133572951496184,1.30091050772905,-0.102676510569014,0.918219716944891,0.99961583089597
"LARP4B",7.138719200224,-0.133894183605274,0.703620082863919,-0.190293294444197,0.849079307908203,0.99961583089597
"AQR",3.05737917582448,-0.133920248759959,1.02256315881002,-0.130965258826463,0.895802790084253,0.99961583089597
"MFSD11",3.18675273895662,-0.133955955854861,0.983281648059597,-0.136233556396796,0.891636648285672,0.99961583089597
"ADGRL4",15.334613491497,-0.134205005817234,0.669201187795785,-0.200545080111526,0.841054305188291,0.99961583089597
"ATP6V1E1",3.09816497212961,-0.134307399301557,1.00849642257926,-0.133175880741412,0.894054285297752,0.99961583089597
"AGRN",0.444150841733305,-0.134368930407726,2.21370604707317,-0.0606986327680589,0.951599220568147,0.99961583089597
"F13A1",0.444150841733305,-0.134368930407726,2.21370604707317,-0.0606986327680589,0.951599220568147,0.99961583089597
"DNAJB2",2.0425742347576,-0.134748626549667,1.12658029099398,-0.119608542441994,0.904793252419386,0.99961583089597
"FAM124A",1.42432849589381,-0.135274187380245,1.67937863348463,-0.0805501419888601,0.935799718217651,0.99961583089597
"KNTC1",0.903978730640277,-0.135494987096483,1.86402540964974,-0.0726894528341985,0.942053241765213,0.99961583089597
"PLA2G4A",2.32049093514199,-0.135532970949927,1.07227346773259,-0.12639776608156,0.899417070380183,0.99961583089597
"AC092329.4",0.574900921853332,-0.135554929965144,2.01466796274666,-0.0672840053406804,0.946355609920619,0.99961583089597
"POGK",0.887849632174598,-0.135700519505032,1.75664282495377,-0.0772499210296795,0.938424729023219,0.99961583089597
"FAM228B",2.95560479472235,-0.135803873335222,0.911074562202489,-0.149059011160317,0.881507068842497,0.99961583089597
"ALDH4A1",0.434477581363531,-0.135967466701542,2.45917861499948,-0.0552897889857304,0.955907596932931,0.99961583089597
"NFKBIA",9.39141397252212,-0.13602472212842,0.584137259286949,-0.232864313936188,0.815866770062547,0.99961583089597
